name,x,y,county,ordinal_cat,COVID-19 danger
Shell,-124.10115259999998,40.93434420000001,Del Norte,2,Mild Risk
Unknown Name,-118.12326809999999,34.078277899999996,Los Angeles,3,Medium Risk
Mobil,-118.1086787,34.0796039,Los Angeles,3,Medium Risk
Unknown Name,-122.0133697,37.5437281,Alameda,3,Medium Risk
Arco,-118.09991709999998,34.07949050000001,Los Angeles,3,Medium Risk
Mobil,-118.07348130000001,34.0805516,Los Angeles,3,Medium Risk
Unknown Name,-118.0468226,34.0770355,Los Angeles,3,Medium Risk
Chevron,-118.1527138,34.1160705,Los Angeles,3,Medium Risk
Arco,-118.16086010000001,34.116040500000004,Los Angeles,3,Medium Risk
Unknown Name,-118.00003149999999,34.0514289,Los Angeles,3,Medium Risk
Unknown Name,-117.99907879999999,34.0514917,Los Angeles,3,Medium Risk
Unknown Name,-117.97527050000001,34.0348258,Los Angeles,3,Medium Risk
Chevron,-118.218093,33.824025,Los Angeles,3,Medium Risk
76,-118.1498499,34.111867700000005,Los Angeles,3,Medium Risk
Arco,-118.17046,34.0190321,Los Angeles,3,Medium Risk
Unknown Name,-118.17392120000001,34.0444264,Los Angeles,3,Medium Risk
Unknown Name,-118.1727227,34.059994399999994,Los Angeles,3,Medium Risk
ARCO,-122.27355390000001,37.5233044,San Mateo,1,Low Risk
Shell,-121.9321669,37.286698,Santa Clara,3,Medium Risk
Shell,-121.83827920000002,38.0025562,Contra Costa,2,Mild Risk
Chevron,-122.2853781,37.995905900000004,Contra Costa,2,Mild Risk
76,-122.26210420000001,38.02162979999999,Contra Costa,2,Mild Risk
Unknown Name,-117.64123590000001,34.095864399999996,San Bernardino,3,Medium Risk
Unknown Name,-117.5929986,34.1219656,San Bernardino,3,Medium Risk
Sam's Club,-117.5587626,34.0741953,San Bernardino,3,Medium Risk
Unknown Name,-117.55072140000001,34.0765628,San Bernardino,3,Medium Risk
Costco Gasoline,-117.54852930000001,34.0776464,San Bernardino,3,Medium Risk
Unknown Name,-117.5458822,34.076772600000005,San Bernardino,3,Medium Risk
Unknown Name,-118.1469155,34.127818,Los Angeles,3,Medium Risk
Ralphs Gas Station,-118.131872,34.169269,Los Angeles,3,Medium Risk
76,-118.132893,34.1574938,Los Angeles,3,Medium Risk
Unknown Name,-118.12109099999999,34.149778000000005,Los Angeles,3,Medium Risk
Chevron,-118.14698,34.135474,Los Angeles,3,Medium Risk
76 Gas Station,-122.4070736,37.7643035,San Francisco,2,Mild Risk
Shell,-122.4077362,37.7647445,San Francisco,2,Mild Risk
Arco,-118.2843133,34.035402399999995,Los Angeles,3,Medium Risk
Shell,-121.7840801,37.99463239999999,Contra Costa,2,Mild Risk
Unknown Name,-117.54853829999999,34.1069467,San Bernardino,3,Medium Risk
Chevron,-118.18094640000001,34.1145924,Los Angeles,3,Medium Risk
Unknown Name,-117.07156699999999,32.621010999999996,San Diego,3,Medium Risk
