name,longitude,latitude
Flyers Energy,-122.2711158,37.5182328
Shell,-117.560983,34.1070692
,-117.5494224,34.1058479
,-117.5287215,34.1059104
,-122.2667706,37.5119067
,-117.6113283,34.0294113
,-117.6280527,34.0543378
,-117.6289266,34.0795474
,-117.6289526,34.0782874
Chevron,-121.8712577,37.2297177
Old Cambria Wine and Gifts,-121.1021204,35.5686945
Chevron,-116.2705034,35.9749654
7,-121.7712688,36.8313572
,-116.8228516,33.9322961
,-116.7802829,33.918142
Orcutt 76,-120.4469187,34.8649076
,-116.8857713,33.9256682
,-116.8741839,33.9213033
Pine Cove Gas & Market,-116.7391586,33.7585781
,-117.1584714,33.4135702
,-122.2762693,37.7770027
