date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-23,Fresno,19.0,Five Points,15,,-120.10244099999998,36.428874,2.70805020110221,1,1
2020-05-06,Kern,29.0,Rosamond,15,,-118.163333,34.864167,2.70805020110221,1,1
2020-10-23,Marin,41.0,San Quentin,15,,-122.487025,37.942256,2.70805020110221,1,1
2020-10-25,Kern,29.0,93285: Wofford Heights,16,,-118.51166299999998,35.710558,2.772588722239781,1,1
2020-10-25,San Diego,73.0,Julian,16,,-116.585556,33.070833,2.772588722239781,1,1
2020-10-25,San Bernardino,71.0,Lytle Creek,16,,-117.499167,34.259167,2.772588722239781,1,1
2020-10-25,Los Angeles,37.0,Unincorporated - Pomona,16,,-117.820557,34.056470000000004,2.772588722239781,1,1
2020-10-25,San Bernardino,71.0,Blue Jay,16,,-117.216863,34.244027,2.772588722239781,1,1
2020-10-25,Plumas,63.0,Western area,16,,-121.234722,40.3025,2.772588722239781,1,1
2020-10-23,San Francisco,75.0,94111,16,,-122.39840900000002,37.79937,2.772588722239781,1,1
2020-10-23,Amador,5.0,Plymouth & surrounding unincorporated areas,17,,-120.844722,38.481944,2.833213344056216,1,1
2020-10-25,Kern,29.0,93523: Edwards,17,,-117.862804,34.971263,2.833213344056216,1,1
2020-10-23,San Luis Obispo,79.0,Cayucos,17,,-120.893611,35.438333,2.833213344056216,1,1
2020-05-08,San Luis Obispo,79.0,San Luis Obispo,17,,-120.659616,35.282752,2.833213344056216,1,1
2020-10-22,Siskiyou,93.0,West County,17,,-122.908407,41.336229,2.833213344056216,1,1
2020-10-23,Riverside,65.0,Anza,17,,-116.638908,33.549092,2.833213344056216,1,1
2020-10-23,Lake,33.0,95485,17,,-122.92033,39.216,2.833213344056216,1,1
2020-10-23,Napa,55.0,Yountville,17,,-122.36711,38.396425,2.833213344056216,1,1
2020-10-23,Lake,33.0,95458,17,,-122.78756,39.06556,2.833213344056216,1,1
2020-10-25,San Bernardino,71.0,Oro Grande,17,,-117.334167,34.598889,2.833213344056216,1,1
2020-05-06,Kern,29.0,Taft,17,,-119.456389,35.1425,2.833213344056216,1,1
2020-10-23,Fresno,19.0,Tollhouse,17,,-119.399167,37.018889,2.833213344056216,1,1
2020-10-25,San Bernardino,71.0,Sugarloaf,17,,-116.828889,34.243333,2.833213344056216,1,1
2020-10-23,Marin,41.0,Strawberry,18,,-122.508804,37.89778,2.8903717578961645,1,1
2020-10-25,Kern,29.0,93238: Kernville,18,,-118.504448,35.73311,2.8903717578961645,1,1
2020-10-25,Plumas,63.0,Southern area,18,,-120.907778,39.935278,2.8903717578961645,1,1
2020-06-09,Tulare,107.0,Woodlake,19,,-119.096931,36.413681,2.9444389791664403,1,1
2020-05-03,Kern,29.0,Desert,19,,-117.948332,35.302887,2.9444389791664403,1,1
2020-10-25,Contra Costa,13.0,Crockett,19,,-122.213056,38.0525,2.9444389791664403,1,1
2020-10-23,Fresno,19.0,Pinedale,19,,-119.79,36.842778,2.9444389791664403,1,1
2020-10-25,San Bernardino,71.0,Muscoy,19,,-117.344167,34.154167,2.9444389791664403,1,1
